brand,replies,pairs,unique_customers,days_active,span_days,first_turn_share,thread_size_p50,thread_size_mean,dm_rate,reply_url_share,substantive_public_share,reply_uniqueness,top10_template_share,reply_len_p50,cust_len_p50,cust_short_share,cust_non_english_share,latency_p50_min,cluster_entropy,silhouette,embedding_spread
GreggsOfficial,4522,4487,3296,64,724,0.7686650323155784,3.0,7.170269667929574,0.17071540004457322,0.05861377312235347,0.23088923556942278,0.8803209271227992,0.043904613327390235,42.0,107.0,0.0033429908624916425,0.00022286605749944285,37.13333333333333,,,
VirginAtlantic,4318,4256,2402,79,1789,0.6811560150375939,4.0,5.036419172932331,0.0805921052631579,0.13345864661654136,0.7453007518796992,0.9906015037593985,0.009398496240601503,95.0,126.0,0.00681390977443609,0.0,13.45,,,
TacoBellTeam,4082,4081,3089,72,262,0.7730948296986033,3.0,3.5052683165890715,0.4013722126929674,0.3246753246753247,0.18206321979906886,0.3312913501592747,0.20632197990688556,53.0,100.0,0.016172506738544475,0.0,299.8333333333333,,,
nationalrailenq,4444,4073,2146,57,589,0.5300761109747115,5.0,6.50085931745642,0.003928308372207218,0.12595138718389393,0.7947458875521728,0.9393567395040511,0.04051068008838694,92.0,110.0,0.01080284802356985,0.0,5.416666666666667,,,
AskCiti,4081,4036,2197,87,1936,0.8277998017839445,4.0,4.882309217046581,0.2688305252725471,0.6719524281466799,0.7277006937561943,0.8939544103072349,0.03691774033696729,156.0,121.0,0.019078295341922697,0.0009910802775024777,91.05000000000001,,,
AskPapaJohns,3908,3892,3149,77,578,0.8478931140801644,2.0,3.8751284686536485,0.6276978417266187,0.024152106885919837,0.24871531346351491,0.8389003083247688,0.10226104830421377,100.0,104.0,0.02183967112024666,0.0,8.508333333333333,,,
CenturyLinkHelp,3801,3793,2696,71,310,0.8771421038755602,3.0,4.941734774584761,0.7822304244661218,0.0350645926707092,0.20010545742156605,0.6583179541260216,0.1708410229369892,116.0,118.0,0.014236751911415766,0.0002636435539151068,6.35,,,
NikeSupport,3468,3408,1487,86,1967,0.48444835680751175,6.0,13.542840375586854,0.10974178403755869,0.1596244131455399,0.8274647887323944,0.8392018779342723,0.06866197183098592,104.0,102.0,0.03345070422535211,0.00029342723004694836,33.50833333333333,,,
Postmates_Help,3346,3336,2846,71,819,0.9166666666666666,2.0,3.491906474820144,0.7721822541966427,0.14418465227817745,0.17296163069544365,0.6534772182254197,0.16996402877697842,76.0,121.0,0.004196642685851319,0.0,2.35,,,
VirginAmerica,2815,2802,1918,69,703,0.7815845824411135,3.0,4.197715917201998,0.13668807994289792,0.1937901498929336,0.5970735189150607,0.9550321199143469,0.021413276231263382,87.0,119.0,0.016773733047822984,0.0,3.6166666666666667,,,
ATT,2790,2716,2187,74,280,0.7997054491899853,3.0,6.960235640648012,0.5802650957290133,0.17562592047128128,0.37223858615611194,0.959499263622975,0.03240058910162003,132.0,111.0,0.025036818851251842,0.0003681885125184094,49.15,,,
IHGService,2643,2625,1601,75,511,0.843047619047619,3.0,3.997333333333333,0.4038095238095238,0.8346666666666667,0.5866666666666667,0.9699047619047619,0.02780952380952381,154.0,127.0,0.008380952380952381,0.0,11.066666666666666,,,
Walmart,2643,2608,2364,62,387,0.9305981595092024,2.0,2.785659509202454,0.0015337423312883436,0.04256134969325153,0.7032208588957055,0.995398773006135,0.008052147239263804,78.0,101.0,0.018404907975460124,0.0,113.65,,,
TfL,2243,2213,1540,67,167,0.8413917758698599,3.0,4.230004518752824,0.02711251694532309,0.20515137821961138,0.8761861726163579,0.9457749661093539,0.03705377315860822,118.0,116.0,0.02394938996836873,0.0,37.78333333333333,,,
askpanera,2153,2152,1940,70,82,0.9233271375464684,2.0,2.6733271375464684,0.6779739776951673,0.1496282527881041,0.3150557620817844,0.8968401486988847,0.04507434944237918,123.0,113.5,0.0023234200743494425,0.0,8.091666666666667,,,
KFC_UKI_Help,2103,2098,1998,73,166,0.9718779790276454,2.0,2.7612011439466158,0.7040038131553861,0.006196377502383222,0.2440419447092469,0.48665395614871304,0.36939942802669207,97.0,129.0,0.0023832221163012394,0.0,66.8,,,
NortonSupport,2011,1972,818,75,92,0.5268762677484787,6.0,9.58265720081136,0.13539553752535496,0.2854969574036511,0.7596348884381339,0.9315415821501014,0.0436105476673428,119.0,96.0,0.05070993914807302,0.2718052738336714,8.725,,,
GoDaddyHelp,1965,1948,1378,73,1071,0.7874743326488707,3.0,4.000513347022587,0.3372689938398357,0.5349075975359343,0.6119096509240246,0.9450718685831622,0.03696098562628337,131.0,124.0,0.011806981519507187,0.001540041067761807,158.58333333333334,,,
ArbysCares,1904,1903,1565,68,177,0.8539148712559117,2.0,3.389385181292696,0.029427220178665267,0.06673673147661587,0.8097740409879138,0.5486074619022596,0.30320546505517604,99.0,97.0,0.02837624802942722,0.0,1057.7,,,
AsurionCares,1898,1846,944,65,975,0.6034669555796316,5.0,6.986457204767064,0.2990249187432286,0.03737811484290358,0.6305525460455038,0.8271939328277357,0.06554712892741062,108.0,129.0,0.026543878656554713,0.0,42.18333333333334,,,
DoorDash_Help,1581,1574,1440,65,68,0.9733163913595934,2.0,2.807496823379924,0.9377382465057179,0.0012706480304955528,0.0590851334180432,0.613722998729352,0.3202033036848793,122.0,117.0,0.014612452350698857,0.0006353240152477764,20.866666666666667,,,
sizehelpteam,1482,1475,1184,70,130,0.8806779661016949,2.0,3.8020338983050848,0.6786440677966101,0.005423728813559322,0.2528813559322034,0.6549152542372881,0.22508474576271187,99.0,96.0,0.01423728813559322,0.0,76.21666666666667,,,
VMUcare,1381,1349,801,69,101,0.6968124536693847,5.0,25.610822831727205,0.251297257227576,0.17346182357301704,0.5181616011860638,0.9436619718309859,0.05337286879169755,88.0,96.0,0.04002965159377316,0.002223869532987398,12.35,,,
Kimpton,1339,1282,733,72,1084,0.797191887675507,2.0,3.329173166926677,0.0202808112324493,0.02418096723868955,0.8361934477379095,1.0,0.0078003120124804995,98.0,117.0,0.0046801872074883,0.0,69.3,,,
DunkinDonuts,1290,1277,1254,71,364,0.9788566953797964,2.0,2.31636648394675,0.5317149569303053,0.007047768206734534,0.42991386061080655,0.4072043852779953,0.42756460454189504,78.0,125.0,0.0,0.0,1333.0833333333333,,,
TwitterSupport,1290,1258,1164,65,952,0.9689984101748808,2.0,4.414944356120826,0.9992050874403816,0.9992050874403816,0.000794912559618442,0.008744038155802861,0.9992050874403816,126.0,61.0,0.07074721780604133,0.000794912559618442,8.325,,,
SCsupport,1329,1250,936,43,350,0.8768,3.0,4.0432,0.0136,0.4072,0.9264,0.6208,0.2632,122.0,119.0,0.0136,0.0016,3973.383333333333,,,
USCellularCares,1177,1174,505,70,72,0.48722316865417375,6.0,8.637137989778536,0.008517887563884156,0.04088586030664395,0.8083475298126065,0.985519591141397,0.018739352640545145,97.0,89.0,0.051959114139693355,0.0,7.483333333333333,,,
NeweggService,1079,1065,731,69,69,0.8629107981220657,3.0,3.827230046948357,0.4507042253521127,0.2507042253521127,0.3492957746478873,0.8892018779342723,0.12018779342723004,113.0,120.0,0.01596244131455399,0.0,21.4,,,
AWSSupport,1035,1034,839,81,371,0.9168278529980658,3.0,3.1711798839458414,0.0038684719535783366,0.6866537717601547,0.9903288201160542,0.9970986460348162,0.012572533849129593,128.0,115.0,0.004835589941972921,0.0,151.275,,,
PandoraSupport,1043,1022,843,66,386,0.8317025440313112,3.0,28.871819960861057,0.3816046966731898,0.2436399217221135,0.5185909980430529,0.8082191780821918,0.1888454011741683,101.0,102.0,0.008806262230919765,0.0009784735812133072,614.375,,,
